educ;south;nonwhite;female;married;exper;expersq;union;lwage;age;year;y85;y85fem;y85educ;y85union
12;0;0;1;1;17;289;0;1,42709994316101;34;78;0;0;0;0
14;0;0;0;1;10;100;0;1,74049997329712;29;78;0;0;0;0
12;0;0;0;1;18;324;1;2,22659993171692;35;78;0;0;0;0
12;0;0;1;0;10;100;1;,967599987983704;27;78;0;0;0;0
12;0;0;0;1;29;841;1;1,83259999752045;46;78;0;0;0;0
12;0;0;1;0;39;1521;0;1,60940003395081;56;78;0;0;0;0
12;0;0;1;1;31;961;0;1,17869997024536;48;78;0;0;0;0
10;0;0;0;1;18;324;1;2,25130009651184;33;78;0;0;0;0
12;0;1;1;1;14;196;1;2,01489996910095;31;78;0;0;0;0
12;0;0;1;1;8;64;0;1,01160001754761;25;78;0;0;0;0
12;1;0;0;0;9;81;0;1,60940003395081;26;78;0;0;0;0
16;1;0;1;0;3;9;0;1,02960002422333;24;78;0;0;0;0
9;1;1;1;1;24;576;0;,97460001707077;38;78;0;0;0;0
7;1;0;1;1;21;441;0;,810899972915649;33;78;0;0;0;0
12;1;0;0;1;15;225;0;1,2878999710083;32;78;0;0;0;0
18;1;0;0;0;2;4;0;1,80050003528595;25;78;0;0;0;0
16;1;1;1;0;12;144;0;1,09860002994537;33;78;0;0;0;0
12;1;1;1;1;7;49;0;1,19389998912811;24;78;0;0;0;0
9;1;1;1;0;33;1089;0;1,32179999351501;47;78;0;0;0;0
15;1;0;0;0;5;25;0;1,64869999885559;25;78;0;0;0;0
18;1;0;1;0;3;9;0;1,32179999351501;26;78;0;0;0;0
11;1;0;1;1;8;64;0;,898999989032745;24;78;0;0;0;0
13;1;0;1;1;5;25;0;1,37969994544983;23;78;0;0;0;0
12;1;0;1;1;1;1;0;1,22640001773834;18;78;0;0;0;0
12;0;0;1;1;21;441;0;,921999990940094;38;78;0;0;0;0
12;0;0;0;0;1;1;0;,977299988269806;18;78;0;0;0;0
11;0;0;1;1;37;1369;0;1,01590001583099;53;78;0;0;0;0
12;0;0;0;1;17;289;1;1,60940003395081;34;78;0;0;0;0
12;0;0;1;0;43;1849;0;1,65820002555847;60;78;0;0;0;0
12;0;0;0;0;4;16;0;1,72720003128052;21;78;0;0;0;0
12;0;0;0;0;6;36;0;1,09860002994537;23;78;0;0;0;0
8;0;0;0;1;49;2401;1;1,94589996337891;62;78;0;0;0;0
16;0;0;0;1;13;169;0;2,27830004692078;34;78;0;0;0;0
18;0;0;0;1;11;121;1;1,5333000421524;34;78;0;0;0;0
8;0;0;1;1;18;324;0;1,04729998111725;31;78;0;0;0;0
7;1;1;0;1;14;196;0;1,51789999008179;26;78;0;0;0;0
15;1;0;1;1;20;400;0;1,62969994544983;40;78;0;0;0;0
14;1;0;1;0;38;1444;0;1,8717999458313;57;78;0;0;0;0
10;1;0;0;1;46;2116;1;1,60940003395081;61;78;0;0;0;0
18;1;0;0;1;20;400;0;2,68720006942749;43;78;0;0;0;0
16;1;0;1;0;7;49;0;1,89079999923706;28;78;0;0;0;0
12;1;0;1;1;10;100;0;1,17869997024536;27;78;0;0;0;0
18;1;0;0;1;12;144;0;2,70799994468689;35;78;0;0;0;0
12;1;0;1;0;13;169;0;2,19140005111694;30;78;0;0;0;0
16;1;0;0;1;20;400;0;2,12030005455017;41;78;0;0;0;0
12;1;0;0;0;6;36;0;1,50409996509552;23;78;0;0;0;0
9;1;0;1;0;6;36;0;1,17869997024536;20;78;0;0;0;0
8;1;0;0;1;40;1600;0;1,1632000207901;53;78;0;0;0;0
12;1;0;1;0;1;1;0;,944500029087067;18;78;0;0;0;0
10;1;1;0;0;14;196;1;1,60940003395081;29;78;0;0;0;0
12;1;0;0;0;5;25;0;1,06470000743866;22;78;0;0;0;0
8;1;0;0;1;17;289;0;1,06470000743866;30;78;0;0;0;0
12;1;0;0;1;14;196;0;2,00149989128113;31;78;0;0;0;0
12;1;0;1;1;12;144;0;1,13940000534058;29;78;0;0;0;0
13;1;0;0;1;30;900;1;1,99129998683929;48;78;0;0;0;0
14;1;0;0;1;38;1444;1;2,01489996910095;57;78;0;0;0;0
12;1;1;0;1;23;529;0;1,06470000743866;40;78;0;0;0;0
9;1;0;0;0;5;25;0;,97460001707077;19;78;0;0;0;0
12;1;0;0;1;36;1296;1;2,15759992599487;53;78;0;0;0;0
11;1;1;1;0;34;1156;0;1,17869997024536;50;78;0;0;0;0
13;1;0;0;1;5;25;1;1,99360001087189;23;78;0;0;0;0
6;0;1;0;1;48;2304;0;1,57379996776581;59;78;0;0;0;0
6;0;0;0;1;38;1444;0;2,22250008583069;49;78;0;0;0;0
15;0;1;1;0;8;64;0;1,65489995479584;28;78;0;0;0;0
12;0;0;1;0;39;1521;1;1,72720003128052;56;78;0;0;0;0
16;0;0;1;0;16;256;1;2,03139996528625;37;78;0;0;0;0
14;0;0;1;1;25;625;0;,451999992132187;44;78;0;0;0;0
13;1;0;0;1;4;16;0;1,32179999351501;22;78;0;0;0;0
12;1;0;0;0;6;36;0;1,60940003395081;23;78;0;0;0;0
12;1;0;1;0;46;2116;0;2,02150011062622;63;78;0;0;0;0
18;1;1;1;0;22;484;0;1,68180000782013;45;78;0;0;0;0
11;1;0;0;1;27;729;0;1,83259999752045;43;78;0;0;0;0
12;1;0;0;1;4;16;1;1,25279998779297;21;78;0;0;0;0
11;1;0;0;1;41;1681;1;1,63409996032715;57;78;0;0;0;0
16;1;1;1;0;30;900;1;2,30259990692139;51;78;0;0;0;0
14;1;0;1;1;3;9;0;1,74300003051758;22;78;0;0;0;0
7;1;1;0;1;21;441;1;1,83259999752045;33;78;0;0;0;0
12;1;1;1;1;22;484;0;1,04980003833771;39;78;0;0;0;0
18;1;0;0;0;9;81;0;2,15759992599487;32;78;0;0;0;0
16;1;0;0;1;27;729;0;2,38260006904602;48;78;0;0;0;0
16;1;0;1;0;2;4;0;1,55809998512268;23;78;0;0;0;0
12;0;0;1;1;8;64;1;1,42309999465942;25;78;0;0;0;0
10;0;0;1;1;27;729;0;1,1632000207901;42;78;0;0;0;0
12;0;0;0;1;13;169;0;1,62430000305176;30;78;0;0;0;0
10;0;0;0;1;43;1849;1;2,01489996910095;58;78;0;0;0;0
14;0;0;0;1;16;256;0;1,9867000579834;35;78;0;0;0;0
12;0;0;0;1;12;144;0;1,04980003833771;29;78;0;0;0;0
15;0;0;1;0;4;16;0;1,38629996776581;24;78;0;0;0;0
12;0;0;1;1;4;16;0;1,32179999351501;21;78;0;0;0;0
12;0;0;1;0;12;144;1;1,52610003948212;29;78;0;0;0;0
16;0;0;0;1;5;25;0;2,19720005989075;26;78;0;0;0;0
18;1;0;0;1;36;1296;0;1,89709997177124;59;78;0;0;0;0
2;1;1;0;1;55;3025;0;1,13940000534058;62;78;0;0;0;0
12;1;0;0;0;17;289;0;1,35450005531311;34;78;0;0;0;0
12;1;0;0;1;14;196;0;2,12030005455017;31;78;0;0;0;0
18;1;0;0;0;31;961;0;2,49200010299683;54;78;0;0;0;0
12;1;0;1;0;21;441;0;1,09860002994537;38;78;0;0;0;0
12;1;0;0;0;5;25;0;1,59930002689362;22;78;0;0;0;0
14;1;0;1;1;22;484;0;2,09489989280701;41;78;0;0;0;0
7;1;0;0;1;19;361;1;1,60940003395081;31;78;0;0;0;0
11;1;0;0;1;30;900;0;2,52570009231567;46;78;0;0;0;0
14;1;0;0;1;9;81;0;1,83259999752045;28;78;0;0;0;0
12;1;0;1;1;30;900;0;1,5686000585556;47;78;0;0;0;0
12;1;0;0;0;9;81;1;1,71430003643036;26;78;0;0;0;0
12;1;0;1;0;7;49;0;1,17869997024536;24;78;0;0;0;0
13;1;0;1;0;1;1;0;,693099975585938;19;78;0;0;0;0
12;1;0;0;1;14;196;1;1,55809998512268;31;78;0;0;0;0
8;0;0;0;1;37;1369;1;2,39790010452271;50;78;0;0;0;0
12;0;0;1;1;28;784;0;1,60940003395081;45;78;0;0;0;0
13;0;0;1;1;8;64;1;1,74919998645782;26;78;0;0;0;0
12;0;0;0;1;36;1296;1;1,62919998168945;53;78;0;0;0;0
12;0;0;1;0;1;1;0;1,25279998779297;18;78;0;0;0;0
12;0;0;1;0;17;289;0;1,60940003395081;34;78;0;0;0;0
15;0;0;0;0;5;25;0;1,32179999351501;25;78;0;0;0;0
12;0;0;1;1;4;16;0;1,25279998779297;21;78;0;0;0;0
12;0;0;0;1;15;225;1;1,90209996700287;32;78;0;0;0;0
8;1;0;0;1;18;324;0;,992500007152557;31;78;0;0;0;0
16;1;0;0;1;2;4;0;1,38629996776581;23;78;0;0;0;0
16;1;0;0;1;6;36;0;1,89709997177124;27;78;0;0;0;0
12;1;0;1;1;23;529;0;1,72720003128052;40;78;0;0;0;0
12;1;0;1;0;12;144;0;,97460001707077;29;78;0;0;0;0
12;1;0;0;1;20;400;1;2,30259990692139;37;78;0;0;0;0
16;1;0;0;1;17;289;0;2,30259990692139;38;78;0;0;0;0
16;0;0;1;1;8;64;0;2,04119992256165;29;78;0;0;0;0
12;0;0;1;0;4;16;0;1,53149998188019;21;78;0;0;0;0
12;0;1;0;0;13;169;0;1,38629996776581;30;78;0;0;0;0
16;0;0;0;0;12;144;0;2,04679989814758;33;78;0;0;0;0
15;0;0;0;0;17;289;0;2,28999996185303;37;78;0;0;0;0
17;0;0;1;1;8;64;0;1,8717999458313;30;78;0;0;0;0
10;0;0;0;1;42;1764;0;1,86539995670319;57;78;0;0;0;0
10;0;0;0;0;5;25;1;1,73090004920959;20;78;0;0;0;0
16;0;0;0;0;18;324;1;1,97409999370575;39;78;0;0;0;0
