"";"Class";"Sex";"Age";"Survived";"Freq"
"122";"1st";"Male";"Adult";"No";118
"123";"1st";"Male";"Adult";"No";118
"124";"1st";"Male";"Adult";"No";118
"125";"1st";"Male";"Adult";"No";118
"126";"1st";"Male";"Adult";"No";118
"127";"1st";"Male";"Adult";"No";118
"128";"1st";"Male";"Adult";"No";118
"129";"1st";"Male";"Adult";"No";118
"130";"1st";"Male";"Adult";"No";118
"131";"1st";"Male";"Adult";"No";118
"132";"1st";"Male";"Adult";"No";118
"133";"1st";"Male";"Adult";"No";118
"134";"1st";"Male";"Adult";"No";118
"135";"1st";"Male";"Adult";"No";118
"136";"1st";"Male";"Adult";"No";118
"137";"1st";"Male";"Adult";"No";118
"138";"1st";"Male";"Adult";"No";118
"139";"1st";"Male";"Adult";"No";118
"140";"1st";"Male";"Adult";"No";118
"141";"1st";"Male";"Adult";"No";118
"142";"1st";"Male";"Adult";"No";118
"143";"1st";"Male";"Adult";"No";118
"144";"1st";"Male";"Adult";"No";118
"145";"1st";"Male";"Adult";"No";118
"146";"1st";"Male";"Adult";"No";118
"147";"1st";"Male";"Adult";"No";118
"148";"1st";"Male";"Adult";"No";118
"149";"1st";"Male";"Adult";"No";118
"150";"1st";"Male";"Adult";"No";118
"151";"1st";"Male";"Adult";"No";118
"152";"1st";"Male";"Adult";"No";118
"153";"1st";"Male";"Adult";"No";118
"154";"1st";"Male";"Adult";"No";118
"155";"1st";"Male";"Adult";"No";118
"156";"1st";"Male";"Adult";"No";118
"157";"1st";"Male";"Adult";"No";118
"158";"1st";"Male";"Adult";"No";118
"159";"1st";"Male";"Adult";"No";118
"160";"1st";"Male";"Adult";"No";118
"161";"1st";"Male";"Adult";"No";118
"162";"1st";"Male";"Adult";"No";118
"163";"1st";"Male";"Adult";"No";118
"164";"1st";"Male";"Adult";"No";118
"165";"1st";"Male";"Adult";"No";118
"166";"1st";"Male";"Adult";"No";118
"167";"1st";"Male";"Adult";"No";118
"168";"1st";"Male";"Adult";"No";118
"169";"1st";"Male";"Adult";"No";118
"170";"1st";"Male";"Adult";"No";118
"171";"2nd";"Male";"Adult";"No";154
"172";"2nd";"Male";"Adult";"No";154
"173";"2nd";"Male";"Adult";"No";154
"174";"2nd";"Male";"Adult";"No";154
"175";"2nd";"Male";"Adult";"No";154
"176";"2nd";"Male";"Adult";"No";154
"177";"2nd";"Male";"Adult";"No";154
"178";"2nd";"Male";"Adult";"No";154
"179";"2nd";"Male";"Adult";"No";154
"180";"2nd";"Male";"Adult";"No";154
"181";"2nd";"Male";"Adult";"No";154
"182";"2nd";"Male";"Adult";"No";154
"183";"2nd";"Male";"Adult";"No";154
"184";"2nd";"Male";"Adult";"No";154
"185";"2nd";"Male";"Adult";"No";154
"186";"2nd";"Male";"Adult";"No";154
"187";"2nd";"Male";"Adult";"No";154
"188";"2nd";"Male";"Adult";"No";154
"189";"2nd";"Male";"Adult";"No";154
"190";"2nd";"Male";"Adult";"No";154
"191";"2nd";"Male";"Adult";"No";154
"192";"2nd";"Male";"Adult";"No";154
"193";"2nd";"Male";"Adult";"No";154
"194";"2nd";"Male";"Adult";"No";154
"195";"2nd";"Male";"Adult";"No";154
"196";"2nd";"Male";"Adult";"No";154
"197";"2nd";"Male";"Adult";"No";154
"198";"2nd";"Male";"Adult";"No";154
"199";"2nd";"Male";"Adult";"No";154
"200";"2nd";"Male";"Adult";"No";154
"201";"2nd";"Male";"Adult";"No";154
"202";"2nd";"Male";"Adult";"No";154
"203";"2nd";"Male";"Adult";"No";154
"204";"2nd";"Male";"Adult";"No";154
"205";"2nd";"Male";"Adult";"No";154
"206";"2nd";"Male";"Adult";"No";154
"207";"2nd";"Male";"Adult";"No";154
"208";"2nd";"Male";"Adult";"No";154
"209";"2nd";"Male";"Adult";"No";154
"210";"2nd";"Male";"Adult";"No";154
"211";"2nd";"Male";"Adult";"No";154
"212";"2nd";"Male";"Adult";"No";154
"213";"2nd";"Male";"Adult";"No";154
"214";"2nd";"Male";"Adult";"No";154
"215";"2nd";"Male";"Adult";"No";154
"216";"2nd";"Male";"Adult";"No";154
"217";"2nd";"Male";"Adult";"No";154
"218";"2nd";"Male";"Adult";"No";154
"219";"2nd";"Male";"Adult";"No";154
"220";"2nd";"Male";"Adult";"No";154
"221";"2nd";"Male";"Adult";"No";154
"222";"2nd";"Male";"Adult";"No";154
"223";"2nd";"Male";"Adult";"No";154
"224";"2nd";"Male";"Adult";"No";154
"225";"2nd";"Male";"Adult";"No";154
"226";"2nd";"Male";"Adult";"No";154
"227";"2nd";"Male";"Adult";"No";154
"228";"2nd";"Male";"Adult";"No";154
"229";"2nd";"Male";"Adult";"No";154
"230";"2nd";"Male";"Adult";"No";154
"231";"2nd";"Male";"Adult";"No";154
"232";"2nd";"Male";"Adult";"No";154
"233";"2nd";"Male";"Adult";"No";154
"234";"2nd";"Male";"Adult";"No";154
"235";"2nd";"Male";"Adult";"No";154
"236";"2nd";"Male";"Adult";"No";154
"237";"2nd";"Male";"Adult";"No";154
"238";"2nd";"Male";"Adult";"No";154
"239";"2nd";"Male";"Adult";"No";154
"240";"2nd";"Male";"Adult";"No";154
"241";"2nd";"Male";"Adult";"No";154
"242";"2nd";"Male";"Adult";"No";154
"243";"2nd";"Male";"Adult";"No";154
"244";"2nd";"Male";"Adult";"No";154
"245";"2nd";"Male";"Adult";"No";154
"246";"2nd";"Male";"Adult";"No";154
"247";"2nd";"Male";"Adult";"No";154
"248";"2nd";"Male";"Adult";"No";154
"249";"2nd";"Male";"Adult";"No";154
"250";"2nd";"Male";"Adult";"No";154
"251";"2nd";"Male";"Adult";"No";154
"252";"2nd";"Male";"Adult";"No";154
"253";"2nd";"Male";"Adult";"No";154
"254";"2nd";"Male";"Adult";"No";154
"255";"2nd";"Male";"Adult";"No";154
"256";"2nd";"Male";"Adult";"No";154
"257";"2nd";"Male";"Adult";"No";154
"258";"2nd";"Male";"Adult";"No";154
"259";"2nd";"Male";"Adult";"No";154
"260";"2nd";"Male";"Adult";"No";154
"261";"2nd";"Male";"Adult";"No";154
"262";"2nd";"Male";"Adult";"No";154
"263";"2nd";"Male";"Adult";"No";154
"264";"2nd";"Male";"Adult";"No";154
"265";"2nd";"Male";"Adult";"No";154
"266";"2nd";"Male";"Adult";"No";154
"267";"2nd";"Male";"Adult";"No";154
"268";"2nd";"Male";"Adult";"No";154
"269";"2nd";"Male";"Adult";"No";154
"270";"2nd";"Male";"Adult";"No";154
"271";"2nd";"Male";"Adult";"No";154
"272";"2nd";"Male";"Adult";"No";154
"273";"2nd";"Male";"Adult";"No";154
"274";"2nd";"Male";"Adult";"No";154
"275";"2nd";"Male";"Adult";"No";154
"276";"2nd";"Male";"Adult";"No";154
"277";"2nd";"Male";"Adult";"No";154
"278";"2nd";"Male";"Adult";"No";154
"279";"2nd";"Male";"Adult";"No";154
"280";"2nd";"Male";"Adult";"No";154
"281";"2nd";"Male";"Adult";"No";154
"282";"2nd";"Male";"Adult";"No";154
"283";"2nd";"Male";"Adult";"No";154
"284";"2nd";"Male";"Adult";"No";154
"285";"2nd";"Male";"Adult";"No";154
"286";"2nd";"Male";"Adult";"No";154
"287";"2nd";"Male";"Adult";"No";154
"288";"2nd";"Male";"Adult";"No";154
"289";"2nd";"Male";"Adult";"No";154
"290";"2nd";"Male";"Adult";"No";154
"291";"2nd";"Male";"Adult";"No";154
"292";"2nd";"Male";"Adult";"No";154
"293";"2nd";"Male";"Adult";"No";154
"294";"2nd";"Male";"Adult";"No";154
"295";"2nd";"Male";"Adult";"No";154
"296";"2nd";"Male";"Adult";"No";154
"297";"2nd";"Male";"Adult";"No";154
"298";"2nd";"Male";"Adult";"No";154
"299";"2nd";"Male";"Adult";"No";154
"300";"2nd";"Male";"Adult";"No";154
"301";"2nd";"Male";"Adult";"No";154
"302";"2nd";"Male";"Adult";"No";154
"303";"2nd";"Male";"Adult";"No";154
"304";"2nd";"Male";"Adult";"No";154
"305";"2nd";"Male";"Adult";"No";154
"306";"2nd";"Male";"Adult";"No";154
"307";"2nd";"Male";"Adult";"No";154
"308";"2nd";"Male";"Adult";"No";154
"309";"2nd";"Male";"Adult";"No";154
"310";"2nd";"Male";"Adult";"No";154
"311";"2nd";"Male";"Adult";"No";154
"312";"2nd";"Male";"Adult";"No";154
"313";"2nd";"Male";"Adult";"No";154
"314";"2nd";"Male";"Adult";"No";154
"315";"2nd";"Male";"Adult";"No";154
"316";"2nd";"Male";"Adult";"No";154
"317";"2nd";"Male";"Adult";"No";154
"318";"2nd";"Male";"Adult";"No";154
"319";"2nd";"Male";"Adult";"No";154
"320";"2nd";"Male";"Adult";"No";154
"321";"2nd";"Male";"Adult";"No";154
"322";"2nd";"Male";"Adult";"No";154
"323";"2nd";"Male";"Adult";"No";154
"324";"2nd";"Male";"Adult";"No";154
"325";"3rd";"Male";"Adult";"No";387
"326";"3rd";"Male";"Adult";"No";387
"327";"3rd";"Male";"Adult";"No";387
"328";"3rd";"Male";"Adult";"No";387
"329";"3rd";"Male";"Adult";"No";387
"330";"3rd";"Male";"Adult";"No";387
"331";"3rd";"Male";"Adult";"No";387
"332";"3rd";"Male";"Adult";"No";387
"333";"3rd";"Male";"Adult";"No";387
"334";"3rd";"Male";"Adult";"No";387
"335";"3rd";"Male";"Adult";"No";387
"336";"3rd";"Male";"Adult";"No";387
"337";"3rd";"Male";"Adult";"No";387
"338";"3rd";"Male";"Adult";"No";387
"339";"3rd";"Male";"Adult";"No";387
"340";"3rd";"Male";"Adult";"No";387
"341";"3rd";"Male";"Adult";"No";387
"342";"3rd";"Male";"Adult";"No";387
"343";"3rd";"Male";"Adult";"No";387
"344";"3rd";"Male";"Adult";"No";387
"345";"3rd";"Male";"Adult";"No";387
"346";"3rd";"Male";"Adult";"No";387
"347";"3rd";"Male";"Adult";"No";387
"348";"3rd";"Male";"Adult";"No";387
"349";"3rd";"Male";"Adult";"No";387
"350";"3rd";"Male";"Adult";"No";387
"351";"3rd";"Male";"Adult";"No";387
"352";"3rd";"Male";"Adult";"No";387
"353";"3rd";"Male";"Adult";"No";387
"354";"3rd";"Male";"Adult";"No";387
"355";"3rd";"Male";"Adult";"No";387
"356";"3rd";"Male";"Adult";"No";387
"357";"3rd";"Male";"Adult";"No";387
"358";"3rd";"Male";"Adult";"No";387
"359";"3rd";"Male";"Adult";"No";387
"360";"3rd";"Male";"Adult";"No";387
"361";"3rd";"Male";"Adult";"No";387
"362";"3rd";"Male";"Adult";"No";387
"363";"3rd";"Male";"Adult";"No";387
"364";"3rd";"Male";"Adult";"No";387
"365";"3rd";"Male";"Adult";"No";387
"366";"3rd";"Male";"Adult";"No";387
"367";"3rd";"Male";"Adult";"No";387
"368";"3rd";"Male";"Adult";"No";387
"369";"3rd";"Male";"Adult";"No";387
"370";"3rd";"Male";"Adult";"No";387
"371";"3rd";"Male";"Adult";"No";387
"372";"3rd";"Male";"Adult";"No";387
"373";"3rd";"Male";"Adult";"No";387
"374";"3rd";"Male";"Adult";"No";387
"375";"3rd";"Male";"Adult";"No";387
"376";"3rd";"Male";"Adult";"No";387
"377";"3rd";"Male";"Adult";"No";387
"378";"3rd";"Male";"Adult";"No";387
"379";"3rd";"Male";"Adult";"No";387
"380";"3rd";"Male";"Adult";"No";387
"381";"3rd";"Male";"Adult";"No";387
"382";"3rd";"Male";"Adult";"No";387
"383";"3rd";"Male";"Adult";"No";387
"384";"3rd";"Male";"Adult";"No";387
"385";"3rd";"Male";"Adult";"No";387
"386";"3rd";"Male";"Adult";"No";387
"387";"3rd";"Male";"Adult";"No";387
"388";"3rd";"Male";"Adult";"No";387
"389";"3rd";"Male";"Adult";"No";387
"390";"3rd";"Male";"Adult";"No";387
"391";"3rd";"Male";"Adult";"No";387
"392";"3rd";"Male";"Adult";"No";387
"393";"3rd";"Male";"Adult";"No";387
"394";"3rd";"Male";"Adult";"No";387
"395";"3rd";"Male";"Adult";"No";387
"396";"3rd";"Male";"Adult";"No";387
"397";"3rd";"Male";"Adult";"No";387
"398";"3rd";"Male";"Adult";"No";387
"399";"3rd";"Male";"Adult";"No";387
"400";"3rd";"Male";"Adult";"No";387
"401";"3rd";"Male";"Adult";"No";387
"402";"3rd";"Male";"Adult";"No";387
"403";"3rd";"Male";"Adult";"No";387
"404";"3rd";"Male";"Adult";"No";387
"405";"3rd";"Male";"Adult";"No";387
"406";"3rd";"Male";"Adult";"No";387
"407";"3rd";"Male";"Adult";"No";387
"408";"3rd";"Male";"Adult";"No";387
"409";"3rd";"Male";"Adult";"No";387
"410";"3rd";"Male";"Adult";"No";387
"411";"3rd";"Male";"Adult";"No";387
"412";"3rd";"Male";"Adult";"No";387
"413";"3rd";"Male";"Adult";"No";387
"414";"3rd";"Male";"Adult";"No";387
"415";"3rd";"Male";"Adult";"No";387
"416";"3rd";"Male";"Adult";"No";387
"417";"3rd";"Male";"Adult";"No";387
"418";"3rd";"Male";"Adult";"No";387
"419";"3rd";"Male";"Adult";"No";387
"420";"3rd";"Male";"Adult";"No";387
"421";"3rd";"Male";"Adult";"No";387
"422";"3rd";"Male";"Adult";"No";387
"423";"3rd";"Male";"Adult";"No";387
"424";"3rd";"Male";"Adult";"No";387
"425";"3rd";"Male";"Adult";"No";387
"426";"3rd";"Male";"Adult";"No";387
"427";"3rd";"Male";"Adult";"No";387
"428";"3rd";"Male";"Adult";"No";387
"429";"3rd";"Male";"Adult";"No";387
"430";"3rd";"Male";"Adult";"No";387
"431";"3rd";"Male";"Adult";"No";387
"432";"3rd";"Male";"Adult";"No";387
"433";"3rd";"Male";"Adult";"No";387
"434";"3rd";"Male";"Adult";"No";387
"435";"3rd";"Male";"Adult";"No";387
"436";"3rd";"Male";"Adult";"No";387
"437";"3rd";"Male";"Adult";"No";387
"438";"3rd";"Male";"Adult";"No";387
"439";"3rd";"Male";"Adult";"No";387
"440";"3rd";"Male";"Adult";"No";387
"441";"3rd";"Male";"Adult";"No";387
"442";"3rd";"Male";"Adult";"No";387
"443";"3rd";"Male";"Adult";"No";387
"444";"3rd";"Male";"Adult";"No";387
"445";"3rd";"Male";"Adult";"No";387
"446";"3rd";"Male";"Adult";"No";387
"447";"3rd";"Male";"Adult";"No";387
"448";"3rd";"Male";"Adult";"No";387
"449";"3rd";"Male";"Adult";"No";387
"450";"3rd";"Male";"Adult";"No";387
"451";"3rd";"Male";"Adult";"No";387
"452";"3rd";"Male";"Adult";"No";387
"453";"3rd";"Male";"Adult";"No";387
"454";"3rd";"Male";"Adult";"No";387
"455";"3rd";"Male";"Adult";"No";387
"456";"3rd";"Male";"Adult";"No";387
"457";"3rd";"Male";"Adult";"No";387
"458";"3rd";"Male";"Adult";"No";387
"459";"3rd";"Male";"Adult";"No";387
"460";"3rd";"Male";"Adult";"No";387
"461";"3rd";"Male";"Adult";"No";387
"462";"3rd";"Male";"Adult";"No";387
"463";"3rd";"Male";"Adult";"No";387
"464";"3rd";"Male";"Adult";"No";387
"465";"3rd";"Male";"Adult";"No";387
"466";"3rd";"Male";"Adult";"No";387
"467";"3rd";"Male";"Adult";"No";387
"468";"3rd";"Male";"Adult";"No";387
"469";"3rd";"Male";"Adult";"No";387
"470";"3rd";"Male";"Adult";"No";387
"471";"3rd";"Male";"Adult";"No";387
"472";"3rd";"Male";"Adult";"No";387
"473";"3rd";"Male";"Adult";"No";387
"474";"3rd";"Male";"Adult";"No";387
"475";"3rd";"Male";"Adult";"No";387
"476";"3rd";"Male";"Adult";"No";387
"477";"3rd";"Male";"Adult";"No";387
"478";"3rd";"Male";"Adult";"No";387
"479";"3rd";"Male";"Adult";"No";387
"480";"3rd";"Male";"Adult";"No";387
"481";"3rd";"Male";"Adult";"No";387
"482";"3rd";"Male";"Adult";"No";387
"483";"3rd";"Male";"Adult";"No";387
"484";"3rd";"Male";"Adult";"No";387
"485";"3rd";"Male";"Adult";"No";387
"486";"3rd";"Male";"Adult";"No";387
"487";"3rd";"Male";"Adult";"No";387
"488";"3rd";"Male";"Adult";"No";387
"489";"3rd";"Male";"Adult";"No";387
"490";"3rd";"Male";"Adult";"No";387
"491";"3rd";"Male";"Adult";"No";387
"492";"3rd";"Male";"Adult";"No";387
"493";"3rd";"Male";"Adult";"No";387
"494";"3rd";"Male";"Adult";"No";387
"495";"3rd";"Male";"Adult";"No";387
"496";"3rd";"Male";"Adult";"No";387
"497";"3rd";"Male";"Adult";"No";387
"498";"3rd";"Male";"Adult";"No";387
"499";"3rd";"Male";"Adult";"No";387
"500";"3rd";"Male";"Adult";"No";387
"501";"3rd";"Male";"Adult";"No";387
"502";"3rd";"Male";"Adult";"No";387
"503";"3rd";"Male";"Adult";"No";387
"504";"3rd";"Male";"Adult";"No";387
"505";"3rd";"Male";"Adult";"No";387
"506";"3rd";"Male";"Adult";"No";387
"507";"3rd";"Male";"Adult";"No";387
"508";"3rd";"Male";"Adult";"No";387
"509";"3rd";"Male";"Adult";"No";387
"510";"3rd";"Male";"Adult";"No";387
"511";"3rd";"Male";"Adult";"No";387
"512";"3rd";"Male";"Adult";"No";387
"513";"3rd";"Male";"Adult";"No";387
"514";"3rd";"Male";"Adult";"No";387
"515";"3rd";"Male";"Adult";"No";387
"516";"3rd";"Male";"Adult";"No";387
"517";"3rd";"Male";"Adult";"No";387
"518";"3rd";"Male";"Adult";"No";387
"519";"3rd";"Male";"Adult";"No";387
"520";"3rd";"Male";"Adult";"No";387
"521";"3rd";"Male";"Adult";"No";387
"522";"3rd";"Male";"Adult";"No";387
"523";"3rd";"Male";"Adult";"No";387
"524";"3rd";"Male";"Adult";"No";387
"525";"3rd";"Male";"Adult";"No";387
"526";"3rd";"Male";"Adult";"No";387
"527";"3rd";"Male";"Adult";"No";387
"528";"3rd";"Male";"Adult";"No";387
"529";"3rd";"Male";"Adult";"No";387
"530";"3rd";"Male";"Adult";"No";387
"531";"3rd";"Male";"Adult";"No";387
"532";"3rd";"Male";"Adult";"No";387
"533";"3rd";"Male";"Adult";"No";387
"534";"3rd";"Male";"Adult";"No";387
"535";"3rd";"Male";"Adult";"No";387
"536";"3rd";"Male";"Adult";"No";387
"537";"3rd";"Male";"Adult";"No";387
"538";"3rd";"Male";"Adult";"No";387
"539";"3rd";"Male";"Adult";"No";387
"540";"3rd";"Male";"Adult";"No";387
"541";"3rd";"Male";"Adult";"No";387
"542";"3rd";"Male";"Adult";"No";387
"543";"3rd";"Male";"Adult";"No";387
"544";"3rd";"Male";"Adult";"No";387
"545";"3rd";"Male";"Adult";"No";387
"546";"3rd";"Male";"Adult";"No";387
"547";"3rd";"Male";"Adult";"No";387
"548";"3rd";"Male";"Adult";"No";387
"549";"3rd";"Male";"Adult";"No";387
"550";"3rd";"Male";"Adult";"No";387
"551";"3rd";"Male";"Adult";"No";387
"552";"3rd";"Male";"Adult";"No";387
"553";"3rd";"Male";"Adult";"No";387
"554";"3rd";"Male";"Adult";"No";387
"555";"3rd";"Male";"Adult";"No";387
"556";"3rd";"Male";"Adult";"No";387
"557";"3rd";"Male";"Adult";"No";387
"558";"3rd";"Male";"Adult";"No";387
"559";"3rd";"Male";"Adult";"No";387
"560";"3rd";"Male";"Adult";"No";387
"561";"3rd";"Male";"Adult";"No";387
"562";"3rd";"Male";"Adult";"No";387
"563";"3rd";"Male";"Adult";"No";387
"564";"3rd";"Male";"Adult";"No";387
"565";"3rd";"Male";"Adult";"No";387
"566";"3rd";"Male";"Adult";"No";387
"567";"3rd";"Male";"Adult";"No";387
"568";"3rd";"Male";"Adult";"No";387
"569";"3rd";"Male";"Adult";"No";387
"570";"3rd";"Male";"Adult";"No";387
"571";"3rd";"Male";"Adult";"No";387
"572";"3rd";"Male";"Adult";"No";387
"573";"3rd";"Male";"Adult";"No";387
"574";"3rd";"Male";"Adult";"No";387
"575";"3rd";"Male";"Adult";"No";387
"576";"3rd";"Male";"Adult";"No";387
"577";"3rd";"Male";"Adult";"No";387
"578";"3rd";"Male";"Adult";"No";387
"579";"3rd";"Male";"Adult";"No";387
"580";"3rd";"Male";"Adult";"No";387
"581";"3rd";"Male";"Adult";"No";387
"582";"3rd";"Male";"Adult";"No";387
"583";"3rd";"Male";"Adult";"No";387
"584";"3rd";"Male";"Adult";"No";387
"585";"3rd";"Male";"Adult";"No";387
"586";"3rd";"Male";"Adult";"No";387
"587";"3rd";"Male";"Adult";"No";387
"588";"3rd";"Male";"Adult";"No";387
"589";"3rd";"Male";"Adult";"No";387
"590";"3rd";"Male";"Adult";"No";387
"591";"3rd";"Male";"Adult";"No";387
"592";"3rd";"Male";"Adult";"No";387
"593";"3rd";"Male";"Adult";"No";387
"594";"3rd";"Male";"Adult";"No";387
"595";"3rd";"Male";"Adult";"No";387
"596";"3rd";"Male";"Adult";"No";387
"597";"3rd";"Male";"Adult";"No";387
"598";"3rd";"Male";"Adult";"No";387
"599";"3rd";"Male";"Adult";"No";387
"600";"3rd";"Male";"Adult";"No";387
"601";"3rd";"Male";"Adult";"No";387
"602";"3rd";"Male";"Adult";"No";387
"603";"3rd";"Male";"Adult";"No";387
"604";"3rd";"Male";"Adult";"No";387
"605";"3rd";"Male";"Adult";"No";387
"606";"3rd";"Male";"Adult";"No";387
"607";"3rd";"Male";"Adult";"No";387
"608";"3rd";"Male";"Adult";"No";387
"609";"3rd";"Male";"Adult";"No";387
"610";"3rd";"Male";"Adult";"No";387
"611";"3rd";"Male";"Adult";"No";387
"612";"3rd";"Male";"Adult";"No";387
"613";"3rd";"Male";"Adult";"No";387
"614";"3rd";"Male";"Adult";"No";387
"615";"3rd";"Male";"Adult";"No";387
"616";"3rd";"Male";"Adult";"No";387
"617";"3rd";"Male";"Adult";"No";387
"618";"3rd";"Male";"Adult";"No";387
"619";"3rd";"Male";"Adult";"No";387
"620";"3rd";"Male";"Adult";"No";387
"621";"3rd";"Male";"Adult";"No";387
"622";"3rd";"Male";"Adult";"No";387
"623";"3rd";"Male";"Adult";"No";387
"624";"3rd";"Male";"Adult";"No";387
"625";"3rd";"Male";"Adult";"No";387
"626";"3rd";"Male";"Adult";"No";387
"627";"3rd";"Male";"Adult";"No";387
"628";"3rd";"Male";"Adult";"No";387
"629";"3rd";"Male";"Adult";"No";387
"630";"3rd";"Male";"Adult";"No";387
"631";"3rd";"Male";"Adult";"No";387
"632";"3rd";"Male";"Adult";"No";387
"633";"3rd";"Male";"Adult";"No";387
"634";"3rd";"Male";"Adult";"No";387
"635";"3rd";"Male";"Adult";"No";387
"636";"3rd";"Male";"Adult";"No";387
"637";"3rd";"Male";"Adult";"No";387
"638";"3rd";"Male";"Adult";"No";387
"639";"3rd";"Male";"Adult";"No";387
"640";"3rd";"Male";"Adult";"No";387
"641";"3rd";"Male";"Adult";"No";387
