educ	south	nonwhite	female	married	exper	expersq	union	lwage	age	year
8	0	0	0	1	19	361	0	1,3217999935	32	78
12	0	1	1	0	13	169	1	1,8554999828	30	78
12	0	0	0	1	9	81	1	1,7491999865	26	78
14	0	0	0	1	38	1444	0	1,9660999775	57	78
12	0	0	0	0	4	16	0	1,1981999874	21	78
14	0	0	1	0	11	121	0	1,9278999567	30	78
10	0	0	0	1	43	1849	0	2,3025999069	58	78
11	0	1	0	1	15	225	0	1,3862999678	31	78
12	0	1	0	1	31	961	1	-0,4699999988	48	78
6	0	1	0	1	44	1936	1	1,3150999546	55	78
16	0	0	0	1	16	256	0	2,8993999958	37	78
12	0	0	0	1	25	625	1	1,9981000423	42	78
14	0	0	0	1	19	361	1	1,7046999931	38	78
12	0	0	1	0	3	9	0	1,1786999702	20	78
13	0	0	1	0	14	196	0	1,609400034	32	78
12	0	0	0	1	30	900	0	2,0148999691	47	78
12	0	0	0	1	32	1024	1	2,4848999977	49	78
10	0	0	0	1	48	2304	1	2,0794000626	63	78
12	0	0	0	0	36	1296	1	2,1401000023	53	78
12	0	0	1	1	7	49	1	1,5828000307	24	78
12	0	0	0	1	19	361	1	2,3345999718	36	78
18	0	0	0	0	11	121	0	1,6503000259	34	78
13	0	0	0	1	32	1024	1	1,5476000309	50	78
12	0	0	1	1	10	100	0	1,7706999779	27	78
14	0	0	1	0	3	9	0	1,609400034	22	78
16	0	0	1	1	10	100	0	1,2947000265	31	78
16	0	0	1	1	9	81	0	2,040199995	30	78
12	0	0	1	1	13	169	1	1,3217999935	30	78
12	0	0	0	1	20	400	0	1,8562999964	37	78
12	0	0	0	1	30	900	1	2,1101999283	47	78
12	0	0	0	1	10	100	1	2,3631999493	27	78
18	0	0	1	0	17	289	0	0,6707000136	40	78
10	0	0	0	1	7	49	1	1,5789999962	22	78
8	0	0	0	1	32	1024	0	2,1401000023	45	78
9	0	0	0	1	36	1296	1	1,6629999876	50	78
14	0	0	0	1	43	1849	0	2,6126999855	62	78
16	0	0	0	1	9	81	0	2,1691000462	30	78
8	0	0	0	1	41	1681	1	1,609400034	54	78
12	0	0	0	1	21	441	1	2,0794000626	38	78
14	0	0	0	1	26	676	0	1,5140999556	45	78
12	0	0	1	1	21	441	0	1,1907000542	38	78
12	0	0	1	1	42	1764	0	1,7918000221	59	78
12	0	0	0	1	41	1681	0	2,2300000191	58	78
13	0	0	1	1	22	484	0	0,9746000171	40	78
18	0	0	0	1	10	100	0	2,0411999226	33	78
12	0	0	0	0	3	9	1	1,7918000221	20	78
14	0	0	0	0	14	196	0	2,1628000736	33	78
12	0	0	0	1	24	576	1	2,4848999977	41	78
12	0	0	0	1	13	169	1	1,7918000221	30	78
12	0	0	1	0	41	1681	1	1,6956000328	58	78
14	0	0	0	1	16	256	0	2,5257000923	35	78
12	1	0	0	0	3	9	0	0,9746000171	20	78
16	1	0	0	1	27	729	0	2,1089999676	48	78
7	1	0	1	0	31	961	0	1,2947000265	43	78
11	1	0	1	0	2	4	0	0,9746000171	18	78
12	1	0	0	1	19	361	0	1,2237999439	36	78
1	1	0	0	1	47	2209	0	1,2039999962	53	78
12	1	0	0	0	1	1	0	1,0472999811	18	78
9	1	0	0	1	5	25	0	1,8215999603	19	78
12	1	1	1	0	38	1444	1	1,1394000053	55	78
12	1	0	1	0	2	4	0	0,9162999988	19	78
12	1	0	0	1	19	361	0	2,2083001137	36	78
12	1	0	0	1	38	1444	1	2,1691000462	55	78
12	1	0	0	1	22	484	0	1,7918000221	39	78
12	1	0	0	1	6	36	0	1,3862999678	23	78
13	1	0	1	1	15	225	0	1,8717999458	33	78
12	1	0	0	1	27	729	0	1,2039999962	44	78
12	1	0	1	0	1	1	0	1,2164000273	18	78
17	1	0	1	1	12	144	0	1,9095000029	34	78
16	1	0	0	1	31	961	0	1,7635999918	52	78
10	1	0	0	1	18	324	0	1,2957999706	33	78
7	1	1	1	0	33	1089	0	1,3217999935	45	78
6	1	0	0	0	39	1521	0	1,5669000149	50	78
16	1	0	0	0	4	16	0	1,609400034	25	78
14	1	0	1	0	4	16	0	1,4291000366	23	78
14	1	0	1	0	2	4	0	1,6582000256	21	78
17	1	0	0	0	4	16	0	1,9057999849	26	78
13	1	0	1	0	21	441	1	2,0148999691	39	78
4	1	0	0	0	13	169	0	0,9555000067	22	78
17	1	0	0	1	18	324	0	2,6454999447	40	78
14	1	0	1	0	9	81	0	2,526900053	28	78
16	1	0	0	0	8	64	0	1,609400034	29	78
10	1	1	0	1	35	1225	0	1,3862999678	50	78
6	1	0	1	1	17	289	0	1,0647000074	28	78
13	0	0	0	0	1	1	0	1,5261000395	19	78
16	0	0	0	1	3	9	1	1,4469000101	24	78
10	0	0	0	1	41	1681	1	1,8717999458	56	78
12	0	0	1	1	41	1681	1	3,0564000607	58	78
18	0	0	0	1	36	1296	0	1,8839000463	59	78
10	0	1	1	1	16	256	1	1,2527999878	31	78
12	0	1	1	0	36	1296	1	1,5892000198	53	78
12	0	1	0	1	39	1521	0	1,8205000162	56	78
13	0	0	0	1	2	4	0	1,7918000221	20	78
15	0	0	0	1	8	64	0	1,8136999607	28	78
12	0	0	0	1	35	1225	0	2,1972000599	52	78
12	0	0	1	0	12	144	0	1,6606999636	29	78
12	0	0	1	0	11	121	0	1,609400034	28	78
18	0	1	1	0	10	100	0	1,8839000463	33	78
16	0	1	1	0	3	9	0	1,3217999935	24	78
10	0	0	0	1	48	2304	1	1,2527999878	63	78
15	0	0	0	0	20	400	1	2,4949998856	40	78
6	0	0	0	1	51	2601	1	1,8717999458	62	78
12	0	0	1	1	12	144	0	1,2237999439	29	78
10	0	0	0	1	26	676	0	1,738499999	41	78
9	0	0	1	1	34	1156	1	2,0794000626	48	78
13	0	0	1	1	35	1225	0	1,445299983	53	78
12	0	0	1	0	12	144	0	1,4469000101	29	78
11	0	0	0	0	5	25	0	1,287899971	21	78
14	0	0	0	0	8	64	0	1,7491999865	27	78
12	0	0	0	1	29	841	1	2,0476999283	46	78
7	0	0	0	1	38	1444	1	1,8325999975	50	78
12	0	0	0	1	33	1089	0	1,3986999989	50	78
8	0	0	0	1	42	1764	0	1,8325999975	55	78
16	0	0	0	0	1	1	0	1,931499958	22	78
13	0	1	0	0	17	289	1	1,9577000141	35	78
16	0	0	1	1	5	25	0	1,8325999975	26	78
12	0	0	1	0	13	169	0	1,2527999878	30	78
12	0	0	1	1	23	529	0	1,2383999825	40	78
16	0	0	1	1	12	144	1	0,6130999923	33	78
12	0	1	0	1	20	400	1	2,0148999691	37	78
13	0	0	0	1	33	1089	0	2,1691000462	51	78
9	0	0	0	1	22	484	0	1,4299999475	36	78
10	0	0	1	0	27	729	1	1,6404999495	42	78
14	0	0	0	1	9	81	1	1,9278999567	28	78
16	0	0	0	0	5	25	0	1,9809999466	26	78
12	0	0	0	1	8	64	0	1,5580999851	25	78
12	0	0	0	1	32	1024	1	2,1691000462	49	78
11	0	0	0	1	12	144	1	2,0148999691	28	78
16	0	0	0	0	2	4	0	1,9772000313	23	78
12	0	0	0	1	32	1024	1	1,9033000469	49	78
12	0	0	0	1	32	1024	0	1,8325999975	49	78
18	0	1	0	1	13	169	1	2,2571001053	36	78
8	0	0	0	1	34	1156	1	1,8562999964	47	78
9	0	0	1	0	16	256	0	-0,0780000016	30	78
16	0	0	0	1	8	64	0	1,6740000248	29	78
10	0	1	0	0	33	1089	0	1,609400034	48	78
12	0	0	0	1	24	576	1	2,0794000626	41	78
9	0	1	0	1	34	1156	1	1,8325999975	48	78
18	0	0	0	1	30	900	0	2,9207999706	53	78
12	0	0	0	0	4	16	1	1,1394000053	21	78
16	0	1	1	1	5	25	0	1,8325999975	26	78
12	0	0	1	1	5	25	0	1,584100008	22	78
10	0	0	0	1	44	1936	1	2,0820000172	59	78
11	0	0	0	0	8	64	0	1,7046999931	24	78
12	0	0	1	1	26	676	0	1,8244999647	43	78
14	0	0	0	1	37	1369	0	1,9924000502	56	78
12	0	1	1	0	20	400	0	1,0296000242	37	78
16	0	1	0	1	16	256	1	2,2558000088	37	78
12	0	0	0	1	14	196	0	2,3025999069	31	78
10	0	0	1	0	15	225	1	1,6375999451	30	78
12	0	0	0	0	3	9	1	1,584100008	20	78
16	0	0	0	1	11	121	0	2,1768000126	32	78
8	0	0	0	1	40	1600	1	1,8325999975	53	78
12	0	0	1	0	21	441	0	2,407900095	38	78
13	0	0	0	1	3	9	0	1,9636000395	21	78
12	0	0	1	0	17	289	0	1,9740999937	34	78
12	0	0	0	0	6	36	0	1,4350999594	23	78
11	1	1	0	1	28	784	1	2,0794000626	44	78
12	1	0	1	1	6	36	0	1,2039999962	23	78
14	1	0	1	0	4	16	0	1,2527999878	23	78
12	1	0	0	1	41	1681	0	2,1691000462	58	78
12	1	0	0	0	16	256	1	2,0148999691	33	78
12	1	0	1	1	6	36	0	0,4519999921	23	78
12	1	0	0	1	39	1521	1	2,0794000626	56	78
10	1	0	0	1	15	225	0	1,692800045	30	78
12	1	0	1	1	18	324	0	1,4325000048	35	78
15	1	0	0	1	7	49	0	1,4929000139	27	78
16	1	0	0	1	36	1296	0	1,1394000053	57	78
14	1	0	1	1	6	36	0	1,7237000465	25	78
12	1	1	1	0	13	169	0	1,5261000395	30	78
13	1	0	0	0	2	4	0	1,0986000299	20	78
5	1	0	0	1	50	2500	0	1,1575000286	60	78
12	1	0	1	1	21	441	0	1,5580999851	38	78
12	1	0	0	1	28	784	0	1,2935999632	45	78
12	1	0	0	1	12	144	1	1,475900054	29	78
15	1	1	1	1	29	841	0	1,2809000015	49	78
12	1	0	0	1	7	49	0	1,3862999678	24	78
12	1	0	0	1	22	484	0	2,1203000546	39	78
12	1	1	1	0	11	121	0	1,348099947	28	78
12	0	0	1	0	40	1600	0	1,5217000246	57	78
12	0	0	0	1	31	961	0	1,5314999819	48	78
12	0	0	1	1	10	100	0	1,421399951	27	78
16	0	0	0	1	9	81	0	1,9809999466	30	78
12	0	1	1	1	10	100	1	1,4469000101	27	78
15	0	0	0	1	42	1764	0	3,1322000027	62	78
12	0	0	1	1	45	2025	0	0,8873000145	62	78
17	0	0	0	1	8	64	1	2,3513998985	30	78
15	0	0	0	1	32	1024	0	2,1691000462	52	78
14	0	0	0	0	1	1	0	1,2527999878	20	78
12	0	0	1	1	17	289	0	1,4270999432	34	78
14	0	0	0	1	10	100	0	1,7404999733	29	78
12	0	0	0	1	18	324	1	2,2265999317	35	78
12	0	0	1	0	10	100	1	0,967599988	27	78
12	0	0	0	1	29	841	1	1,8325999975	46	78
12	0	0	1	0	39	1521	0	1,609400034	56	78
12	0	0	1	1	31	961	0	1,1786999702	48	78
10	0	0	0	1	18	324	1	2,2513000965	33	78
12	0	1	1	1	14	196	1	2,0148999691	31	78
12	0	0	1	1	8	64	0	1,0116000175	25	78
12	1	0	0	0	9	81	0	1,609400034	26	78
16	1	0	1	0	3	9	0	1,0296000242	24	78
9	1	1	1	1	24	576	0	0,9746000171	38	78
7	1	0	1	1	21	441	0	0,8108999729	33	78
12	1	0	0	1	15	225	0	1,287899971	32	78
18	1	0	0	0	2	4	0	1,8005000353	25	78
16	1	1	1	0	12	144	0	1,0986000299	33	78
12	1	1	1	1	7	49	0	1,1938999891	24	78
9	1	1	1	0	33	1089	0	1,3217999935	47	78
15	1	0	0	0	5	25	0	1,6486999989	25	78
18	1	0	1	0	3	9	0	1,3217999935	26	78
11	1	0	1	1	8	64	0	0,898999989	24	78
13	1	0	1	1	5	25	0	1,3796999454	23	78
12	1	0	1	1	1	1	0	1,2264000177	18	78
12	0	0	1	1	21	441	0	0,9219999909	38	78
12	0	0	0	0	1	1	0	0,9772999883	18	78
11	0	0	1	1	37	1369	0	1,0159000158	53	78
12	0	0	0	1	17	289	1	1,609400034	34	78
12	0	0	1	0	43	1849	0	1,6582000256	60	78
12	0	0	0	0	4	16	0	1,7272000313	21	78
12	0	0	0	0	6	36	0	1,0986000299	23	78
8	0	0	0	1	49	2401	1	1,9458999634	62	78
16	0	0	0	1	13	169	0	2,2783000469	34	78
18	0	0	0	1	11	121	1	1,5333000422	34	78
8	0	0	1	1	18	324	0	1,0472999811	31	78
7	1	1	0	1	14	196	0	1,5178999901	26	78
15	1	0	1	1	20	400	0	1,6296999454	40	78
14	1	0	1	0	38	1444	0	1,8717999458	57	78
10	1	0	0	1	46	2116	1	1,609400034	61	78
18	1	0	0	1	20	400	0	2,6872000694	43	78
16	1	0	1	0	7	49	0	1,8907999992	28	78
12	1	0	1	1	10	100	0	1,1786999702	27	78
18	1	0	0	1	12	144	0	2,7079999447	35	78
12	1	0	1	0	13	169	0	2,1914000511	30	78
16	1	0	0	1	20	400	0	2,1203000546	41	78
12	1	0	0	0	6	36	0	1,5040999651	23	78
9	1	0	1	0	6	36	0	1,1786999702	20	78
8	1	0	0	1	40	1600	0	1,1632000208	53	78
12	1	0	1	0	1	1	0	0,9445000291	18	78
10	1	1	0	0	14	196	1	1,609400034	29	78
12	1	0	0	0	5	25	0	1,0647000074	22	78
8	1	0	0	1	17	289	0	1,0647000074	30	78
12	1	0	0	1	14	196	0	2,0014998913	31	78
12	1	0	1	1	12	144	0	1,1394000053	29	78
13	1	0	0	1	30	900	1	1,9912999868	48	78
14	1	0	0	1	38	1444	1	2,0148999691	57	78
12	1	1	0	1	23	529	0	1,0647000074	40	78
9	1	0	0	0	5	25	0	0,9746000171	19	78
12	1	0	0	1	36	1296	1	2,157599926	53	78
11	1	1	1	0	34	1156	0	1,1786999702	50	78
13	1	0	0	1	5	25	1	1,9936000109	23	78
6	0	1	0	1	48	2304	0	1,5737999678	59	78
6	0	0	0	1	38	1444	0	2,2225000858	49	78
15	0	1	1	0	8	64	0	1,6548999548	28	78
12	0	0	1	0	39	1521	1	1,7272000313	56	78
16	0	0	1	0	16	256	1	2,0313999653	37	78
14	0	0	1	1	25	625	0	0,4519999921	44	78
13	1	0	0	1	4	16	0	1,3217999935	22	78
12	1	0	0	0	6	36	0	1,609400034	23	78
12	1	0	1	0	46	2116	0	2,0215001106	63	78
18	1	1	1	0	22	484	0	1,6818000078	45	78
11	1	0	0	1	27	729	0	1,8325999975	43	78
12	1	0	0	1	4	16	1	1,2527999878	21	78
11	1	0	0	1	41	1681	1	1,6340999603	57	78
16	1	1	1	0	30	900	1	2,3025999069	51	78
14	1	0	1	1	3	9	0	1,7430000305	22	78
7	1	1	0	1	21	441	1	1,8325999975	33	78
12	1	1	1	1	22	484	0	1,0498000383	39	78
18	1	0	0	0	9	81	0	2,157599926	32	78
16	1	0	0	1	27	729	0	2,382600069	48	78
16	1	0	1	0	2	4	0	1,5580999851	23	78
12	0	0	1	1	8	64	1	1,4230999947	25	78
10	0	0	1	1	27	729	0	1,1632000208	42	78
12	0	0	0	1	13	169	0	1,6243000031	30	78
10	0	0	0	1	43	1849	1	2,0148999691	58	78
14	0	0	0	1	16	256	0	1,986700058	35	78
12	0	0	0	1	12	144	0	1,0498000383	29	78
15	0	0	1	0	4	16	0	1,3862999678	24	78
12	0	0	1	1	4	16	0	1,3217999935	21	78
12	0	0	1	0	12	144	1	1,5261000395	29	78
16	0	0	0	1	5	25	0	2,1972000599	26	78
18	1	0	0	1	36	1296	0	1,8970999718	59	78
2	1	1	0	1	55	3025	0	1,1394000053	62	78
12	1	0	0	0	17	289	0	1,3545000553	34	78
12	1	0	0	1	14	196	0	2,1203000546	31	78
18	1	0	0	0	31	961	0	2,492000103	54	78
12	1	0	1	0	21	441	0	1,0986000299	38	78
12	1	0	0	0	5	25	0	1,5993000269	22	78
14	1	0	1	1	22	484	0	2,0948998928	41	78
7	1	0	0	1	19	361	1	1,609400034	31	78
11	1	0	0	1	30	900	0	2,5257000923	46	78
14	1	0	0	1	9	81	0	1,8325999975	28	78
12	1	0	1	1	30	900	0	1,5686000586	47	78
12	1	0	0	0	9	81	1	1,7143000364	26	78
12	1	0	1	0	7	49	0	1,1786999702	24	78
13	1	0	1	0	1	1	0	0,6930999756	19	78
12	1	0	0	1	14	196	1	1,5580999851	31	78
8	0	0	0	1	37	1369	1	2,3979001045	50	78
12	0	0	1	1	28	784	0	1,609400034	45	78
13	0	0	1	1	8	64	1	1,7491999865	26	78
12	0	0	0	1	36	1296	1	1,6291999817	53	78
12	0	0	1	0	1	1	0	1,2527999878	18	78
12	0	0	1	0	17	289	0	1,609400034	34	78
15	0	0	0	0	5	25	0	1,3217999935	25	78
12	0	0	1	1	4	16	0	1,2527999878	21	78
12	0	0	0	1	15	225	1	1,902099967	32	78
8	1	0	0	1	18	324	0	0,9925000072	31	78
16	1	0	0	1	2	4	0	1,3862999678	23	78
16	1	0	0	1	6	36	0	1,8970999718	27	78
12	1	0	1	1	23	529	0	1,7272000313	40	78
12	1	0	1	0	12	144	0	0,9746000171	29	78
12	1	0	0	1	20	400	1	2,3025999069	37	78
16	1	0	0	1	17	289	0	2,3025999069	38	78
16	0	0	1	1	8	64	0	2,0411999226	29	78
12	0	0	1	0	4	16	0	1,5314999819	21	78
12	0	1	0	0	13	169	0	1,3862999678	30	78
16	0	0	0	0	12	144	0	2,0467998981	33	78
15	0	0	0	0	17	289	0	2,2899999619	37	78
17	0	0	1	1	8	64	0	1,8717999458	30	78
10	0	0	0	1	42	1764	0	1,8653999567	57	78
10	0	0	0	0	5	25	1	1,7309000492	20	78
16	0	0	0	0	18	324	1	1,9740999937	39	78
12	0	0	1	0	3	9	0	1,4469000101	20	78
8	0	0	0	0	22	484	0	1,4270999432	35	78
12	0	0	1	1	18	324	0	1,2648999691	35	78
12	0	0	0	1	8	64	0	1,9636000395	25	78
15	0	0	0	1	1	1	0	1,7272000313	21	78
15	0	0	1	0	4	16	0	1,4858000278	24	78
12	0	0	0	1	11	121	0	1,3862999678	28	78
12	0	0	0	1	45	2025	1	2,1517999172	62	78
12	0	0	0	1	35	1225	0	2,1019001007	52	78
11	1	1	0	0	22	484	0	1,0116000175	38	78
12	1	0	1	1	13	169	0	1,7272000313	30	78
14	1	0	0	1	34	1156	0	3,3513998985	53	78
10	1	0	0	1	9	81	1	1,3217999935	24	78
10	1	0	0	1	36	1296	0	1,7918000221	51	78
10	1	0	0	1	14	196	0	1,609400034	29	78
12	0	0	1	1	2	4	0	1,1290999651	19	78
8	0	0	0	1	32	1024	1	1,6486999989	45	78
14	0	0	1	0	39	1521	0	1,9458999634	58	78
12	0	0	1	1	9	81	0	0,8650000095	26	78
18	0	0	0	1	3	9	0	1,9372999668	26	78
10	0	0	0	1	8	64	0	0,8650000095	23	78
16	0	0	0	1	7	49	0	1,3805999756	28	78
14	0	0	0	1	7	49	0	1,609400034	26	78
13	0	0	0	1	4	16	0	1,8325999975	22	78
16	0	0	0	0	5	25	0	1,6677000523	26	78
14	1	1	0	0	6	36	0	1,0986000299	25	78
12	1	0	0	1	37	1369	0	1,8795000315	54	78
6	1	1	0	0	11	121	0	1,0986000299	22	78
8	1	0	1	0	41	1681	1	1,609400034	54	78
12	1	1	1	0	30	900	0	2,7444000244	47	78
16	1	0	0	1	13	169	0	2,1638000011	34	78
18	0	0	1	0	4	16	0	1,609400034	27	78
12	0	0	1	1	16	256	0	1,7272000313	33	78
13	0	0	0	1	8	64	1	1,3083000183	26	78
16	0	0	0	1	32	1024	0	2,0148999691	53	78
12	0	0	1	0	6	36	0	0,9703999758	23	78
14	0	0	1	1	30	900	0	1,3609999418	49	78
12	0	0	1	0	1	1	0	1,0986000299	18	78
12	0	0	0	0	4	16	1	1,6486999989	21	78
13	0	0	0	1	41	1681	1	2,6912000179	59	78
12	0	0	0	1	22	484	1	2,0411999226	39	78
12	0	0	0	1	22	484	0	1,7618999481	39	78
15	0	0	0	1	31	961	1	2,5257000923	51	78
16	0	0	1	0	2	4	1	1,8523999453	23	78
15	0	0	0	1	19	361	1	2,0794000626	39	78
12	0	0	1	1	14	196	0	1,8100999594	31	78
11	0	0	1	0	16	256	0	1,2039999962	32	78
12	1	0	0	0	3	9	0	1,3466000557	20	78
12	1	0	0	1	3	9	1	1,5146000385	20	78
8	1	0	0	1	30	900	1	2,1101999283	43	78
12	1	0	1	0	3	9	0	0,9162999988	20	78
4	1	1	0	1	55	3025	0	1,1474000216	64	78
12	1	0	0	0	3	9	0	1,1394000053	20	78
11	1	0	0	1	19	361	1	2,5257000923	35	78
9	1	0	1	0	27	729	1	1,4552999735	41	78
12	1	0	0	1	9	81	1	1,7918000221	26	78
12	0	1	0	0	13	169	0	1,4350999594	30	78
16	0	0	0	1	31	961	0	2,5494000912	52	78
12	0	0	1	0	16	256	0	1,5421999693	33	78
11	0	0	0	0	4	16	0	0,9746000171	20	78
16	0	0	0	1	3	9	0	2,0014998913	24	78
16	0	0	1	0	4	16	0	1,4469000101	25	78
12	0	0	1	1	36	1296	1	1,3217999935	53	78
9	1	0	0	1	6	36	0	1,609400034	20	78
12	1	0	0	1	19	361	0	1,986700058	36	78
18	1	0	0	1	14	196	0	2,0669000149	37	78
12	0	0	0	1	38	1444	0	1,4609999657	55	78
13	0	0	0	1	8	64	1	1,8100999594	26	78
12	0	0	1	1	4	16	0	1,5580999851	21	78
15	0	0	0	0	12	144	0	1,8325999975	32	78
12	0	0	0	1	41	1681	0	2,4444999695	58	78
12	0	0	1	1	24	576	0	1,7430000305	41	78
11	0	0	0	1	17	289	0	1,7918000221	33	78
12	0	0	1	1	8	64	0	1,1786999702	25	78
12	0	0	0	0	2	4	0	1,3862999678	19	78
12	0	0	0	1	2	4	0	1,2447999716	19	78
12	0	0	1	1	39	1521	0	1,4469000101	56	78
12	0	0	0	1	6	36	0	2,5257000923	23	78
9	0	0	1	1	34	1156	0	1,0296000242	48	78
17	0	0	0	1	14	196	0	2,0148999691	36	78
17	0	0	0	1	7	49	0	2,0948998928	29	78
10	0	0	1	0	46	2116	0	0,9943000078	61	78
18	0	0	0	1	4	16	0	1,9278999567	27	78
12	0	0	1	1	12	144	0	0,5595999956	29	78
12	0	0	1	1	6	36	0	1,2164000273	23	78
6	0	0	0	1	15	225	0	1,4469000101	26	78
13	0	0	0	1	12	144	1	1,5040999651	30	78
17	0	0	0	1	15	225	0	2,1691000462	37	78
12	0	0	0	1	15	225	0	2,0794000626	32	78
12	0	1	1	1	12	144	1	1,1151000261	29	78
12	0	0	0	1	23	529	0	1,67900002	40	78
14	0	0	0	0	41	1681	0	2,1847999096	60	78
12	0	0	1	0	42	1764	0	1,5040999651	59	78
12	0	0	0	1	10	100	0	1,7046999931	27	78
10	0	0	0	1	20	400	0	1,4586000443	35	78
13	0	0	0	1	4	16	1	1,7296999693	22	78
16	0	0	1	1	11	121	1	1,8325999975	32	78
12	0	0	1	0	6	36	0	1,1394000053	23	78
14	0	0	0	1	19	361	0	1,2496000528	38	78
12	0	0	0	1	32	1024	0	2,2400999069	49	78
12	0	0	0	1	21	441	0	1,3862999678	38	78
11	0	0	0	1	39	1521	0	1,2164000273	55	78
18	0	0	0	1	15	225	0	2,0815000534	38	78
12	0	0	1	1	25	625	1	1,5943000317	42	78
12	0	0	1	0	18	324	0	1,073300004	35	78
12	0	0	1	1	21	441	0	1,7046999931	38	78
17	0	0	1	1	11	121	1	2,2437000275	33	78
14	0	0	0	0	6	36	0	1,1394000053	25	78
12	0	1	0	0	5	25	1	0,8755000234	22	78
15	1	1	1	1	12	144	0	2,1040999889	32	78
8	1	1	0	1	44	1936	0	1,0986000299	57	78
16	1	1	1	0	7	49	0	2,1691000462	28	78
16	1	1	1	0	25	625	0	1,348099947	46	78
12	0	0	1	0	5	25	1	1,0986000299	22	78
12	0	0	0	1	27	729	0	2,0794000626	44	78
10	0	0	1	0	36	1296	1	1,2935999632	51	78
12	0	0	0	0	31	961	0	2,1401000023	48	78
14	0	0	0	0	27	729	0	2,404900074	46	78
13	0	0	1	1	44	1936	0	1,3986999989	62	78
16	0	0	1	0	7	49	0	1,4291000366	28	78
12	0	0	0	0	13	169	1	1,9912999868	30	78
14	0	0	1	1	36	1296	0	1,3545000553	55	78
12	0	0	1	0	4	16	0	1,2668999434	21	78
12	0	0	0	1	30	900	1	2,0476999283	47	78
10	0	0	0	1	16	256	0	1,609400034	31	78
17	0	0	0	1	15	225	1	2,0148999691	37	78
13	0	0	1	0	2	4	0	0,9725000262	20	78
12	0	0	0	1	32	1024	1	1,8325999975	49	78
12	0	0	0	1	9	81	0	1,2039999962	26	78
